col1,M1,M2,M3
Abrasive,rough,coarse,harsh
bilk,chear,defraud,evade
Covert,Hidden,Undercover,furtive
application,Appeal,Entreaty,Solicitation
Degradation,Deprevation,poverty,debasement
data,facts,statistics,input
noxious,harmful,poisonous,lethal
power,ability,capicity,competence
placid,clalm,peaceful,undisturbed
hardware,apparatus,equipment,paraphernalia
tardy,slow,late,overdue
system,network,structure ,organization
blighted,damaged,destroyed,ruined
machine,apparatus,gadget,appliance
enunciation,declaration,accent,articulation
factor,constituent,part,aspect
lance,speaker,spike,javelin
resources,assets,materials,stratagem
hone,sharpen,increase,whet
model,replica,facsimile,a miniature
officious,domineering,intrusive,meddlesome
cloud,network,water vapor,fog
Loquacious,talkative,garrulous,verbose
Malleable,being shaped ,formed,  –
Mitigate,to lessen,to pacify,Alleviate
Obdurate,hardhearted,stubborn,unyielding
Ostentation,boastful,showiness,  ------
pedant,bookish,showoff learner,-
placate,to pacify,to molify,to lessen
prodigal,wasteful,lavish,extravagant
propriety,behaviour,decorum,  ------
volatile,erratic,unpredictable,capricious
waver,to oscillate,to fluctuate,--
zeal,passionate,enthusiastic, -----
quenching,satisfy,put an end to ,put out
rigor,sternness,strictness,sever condition
sketchy,shortly,roughly,quickly
vehemence,forcefulness,intensity,conviction
wan,looking ill,no bright,  ------
diffindent,timid,shy,  ------
aggravate,make worst,  ----,irritate
entice,attract,lure,-----
malevolent,malicious,evil,showing ill will
acumen,keen,quick,accurate
appease,make quit,calm,make silent
sophisticated,complex,subtle,refined
ail,pain,uneasiness,trouble to
mite,small amount,small portion,small particle
beguile,mislead,cheat,pass time
bogus,sham,counterfeit,not genuine
